1,  2.48839491e+06, 1.20888418e+00, 1, 1, 0.00403294
2,  2.49063644e+06, 1.56008564e+00, 1, 1, 0.00402553
3,  2.49023677e+06, 1.56933626e+00, 1, 1, 0.00402604
4,  2.49021315e+06, 1.55201328e+00, 1, 1, 0.00402677
5,  2.48907162e+06, 1.04908376e+00, 5, 1, 5.00206974
6,  2.48891737e+06, 1.05454924e+00, 5, 1, 5.0020697
7,  2.49075868e+06, 1.04186026e+00, 5, 1, 5.0020698
8,  2.49029732e+06, 1.06942845e+00, 5, 1, 5.00206972 *
9,  2.47032424e+06, 1.09371314e+00, 5, 1, 5.00206496
10, 2.47024775e+06, 1.08265014e+00, 5, 1, 5.00206497
11, 2.48943315e+06, 1.09656395e+00, 5, 1, 5.00206499
12, 2.48825423e+06, 1.07888549e+00, 5, 1, 5.00206497

